,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
783,E02000767,456,1.0964912280701753,22.49212185,19.85294118,23.25367647,21.46796218,12.93329832,25.68277311,22.51908397,19.92366412,26.41221374,62.30304622,267500.0,6.8156411923651765,13.190022025881637
784,E02000929,446,1.1345291479820627,20.48921259,27.47011131,24.85914525,17.42476295,9.756767899,26.65933764,37.23836301,12.21493283,10.59044049,54.03325546,250000.0,6.79346738938956,13.122363377408329
785,E02000563,511,1.1232876712328768,16.78057978,28.42328541,26.3728494,19.07848221,9.344803205,31.95851992,38.4720701,15.99123768,9.857612267,34.18571765,302000.0,6.929517728172824,13.311329476919694
786,E02000760,79,1.1772151898734178,22.29409228,18.31249102,21.89161995,22.12160414,15.38019261,20.18111255,26.78913127,18.29314964,23.03865289,46.28431795,262500.0,5.062635088303318,13.17115354157739
787,E02000585,5174,1.1913413219945883,17.56917939,18.46374046,29.29389313,23.4971374,11.17604962,48.61641221,40.31640725,19.11201837,14.46797652,32.60973282,690000.0,9.244548552644636,14.137594057133912
788,E02000586,7342,1.1778806864614546,15.78066675,22.10065646,30.84052002,21.41845797,9.859698802999999,51.35796113,44.78412443,19.92491285,15.04424779,27.04337753,1673000.0,9.594513749254517,15.023276160528996
789,E02000475,1086,1.2053406998158378,16.7137886,18.63853849,19.72596781,26.750761199999996,18.17094389,22.16180948,30.35850496,25.78184592,19.01856089,11.13527621,250000.0,7.683403893026667,13.122363377408329
790,E02000087,1558,1.355584082156611,17.68043277,14.36865022,18.735981,27.10120069,22.11373532,24.50191318,27.56206238,24.41120306,21.61043921,10.33117826,261000.0,8.044305509983005,13.165422866868445
791,E02000612,134,1.2313432835820897,18.2486298,15.75734928,20.50323866,28.61235675,16.87842551,29.8081714,23.20550639,26.61422484,23.40216323,27.24215247,368500.0,5.591000903142794,13.510343171173314
792,E02000288,932,1.0718884120171674,24.62345091,22.63107722,22.07816969,20.17159199,10.4957102,16.12964728,26.95560254,16.67547569,20.98308668,49.30409914,205000.0,7.5304802830569395,12.92391243868644
793,E02000711,1528,1.2048429319371727,21.56165727,20.53199314,26.01127727,20.87521451,11.01985781,20.61779848,28.12101911,17.99363057,20.63694268,40.25496445,218250.0,8.024862257362681,12.986543654267042
794,E02000573,15777,1.1975026937947646,12.20890016,28.76412267,29.7210053,20.03689186,9.269080009,55.02651602,39.62892483,23.97716461,9.205518554,20.47498271,585000.0,10.359455643821763,13.97251430677467
795,E02000309,557,1.1543985637342908,26.82810563,22.06120698,23.0622557,19.77309562,8.275336066,15.70216417,25.54821664,13.05151915,19.47159841,61.3404519,200000.0,7.015713226290625,12.899219826096369
796,E02000295,484,1.1694214876033058,19.91879627,17.37520898,24.36111775,23.07141151,15.27346549,31.15595892,28.50313714,21.09351658,21.63131162,30.64246477,307500.0,6.875233154483393,13.3293775467913
797,E02000022,1266,1.287519747235387,33.58778626,20.67904751,28.16452091,13.41004899,4.158596331,16.64577874,28.18153941,10.88623122,21.52713891,61.775093999999996,130000.0,7.836764939245352,12.468436910012457
798,E02000643,1212,1.2070957095709571,19.15402079,23.20468395,31.210419399999996,18.52073127,7.910144581,38.71430278,34.24352187,17.55363611,13.79214266,37.49551918,312500.0,7.793174517379448,13.345506928721099
799,E02000959,204,1.147058823529412,21.77519701,20.89036361,30.18111434,18.59532697,8.557998064,30.77561178,33.82550336,17.14765101,17.18120805,46.61965989,249000.0,6.011273181654913,13.118355356010822
800,E02000803,367,1.2125340599455041,19.25002663,15.80909769,21.94524342,27.25045275,15.7451795,29.33844679,32.84385707,22.80959373,19.82378855,16.28848407,315000.0,6.598510884737168,13.353475098370234
801,E02000413,531,1.1544256120527308,24.01333333,15.98666667,24.84,23.85333333,11.30666667,43.82666667,29.91511036,17.89473684,26.14601019,20.74666667,603000.0,6.967910088448149,14.002819656269955
802,E02000657,4033,1.1626580709149517,15.33377396,34.66622604,26.47058824,16.77682309,6.752588676,36.13130646,37.34110169,15.01588983,10.48728814,47.102886100000006,250000.0,8.995412990803656,13.122363377408329
803,E02000403,1293,1.185614849187935,16.50229198,26.01750243,30.75427143,18.54424226,8.181691902,31.00430615,31.18353345,20.2058319,12.96740995,37.60244478,250000.0,7.857867708866805,13.122363377408329
804,E02000170,790,1.1493670886075948,14.919645000000001,24.10650036,31.02662509,20.07675702,9.870472535,51.81098585,35.30529172,21.3568521,14.30122117,25.67762053,570000.0,7.3651805265976025,13.946538820371448
805,E02000057,214,1.172897196261682,25.25387493,25.414217,21.44575094,16.20791021,11.67824693,30.17103153,21.05691057,17.88617886,28.00813008,29.58311064,365000.0,6.0591286545291485,13.50079981312645
806,E02000155,77,1.1818181818181819,15.87255612,14.30847212,17.68283852,27.86386676,24.27226647,17.68283852,31.66503108,24.17402682,16.51946353,10.36929761,249995.0,5.03699476537355,13.122343377208326
807,E02000641,48,1.1875,24.55860576,23.27144322,25.65212439,19.22770247,7.29012416,23.47647796,31.69668797,10.19755956,12.31841952,61.749629799999994,270000.0,4.564456680755902,13.199324418543886
808,E02000978,50725,1.170152784622967,11.46709817,29.49298813,22.70765912,23.16073355,13.17152104,42.33009709,45.05409583,20.29881504,11.61772282,30.44228695,2930000.0,11.527321345351123,15.583660161553224
809,E02000894,1467,1.10906612133606,14.73808819,32.7907665,34.78346651,14.08700799,3.60067081,48.17007004,34.27937916,25.34368071,13.12638581,42.65561803,330000.0,7.984122074869107,13.399995114004904
810,E02000513,214,1.0841121495327104,27.66146993,20.59020045,24.79955457,18.63028953,8.318485523,15.84632517,24.95361781,14.99690785,22.85095857,55.97995546,183500.0,6.0591286545291485,12.813117127044132
811,E02000487,787,1.167725540025413,17.27655234,13.73199031,15.56802244,31.34004845,22.08338646,23.80466658,19.86531987,30.33670034,25.75757576,3.812316716,415000.0,7.361375832613708,13.629180979774231
812,E02000707,117,1.0,25.52765162,20.30456853,20.34464333,24.35212396,9.471012557,17.08522575,25.97838241,14.75959747,20.72307119,58.34891798,241000.0,5.455339377696201,13.085699393037041
813,E02000120,644,1.2003105590062113,14.21749512,26.45973519,32.51573692,18.10288691,8.704145865,42.00130237,38.36801496,20.45826514,11.31634323,35.81506403,416250.0,7.160846509456856,13.63218850083818
814,E02000823,599,1.2153589315525877,18.69908186,27.24686409,25.70800466,20.12155696,8.224492435,29.65214018,32.58320127,13.43898574,11.18858954,51.09271951,310000.0,7.088409475439725,13.337474757023875
