MSOA,park,road,station,hill,squar
E02000093,0.023973048829139434,0.14801526790859035,0.42837337344852183,0.028441275111116878,0.08502192461332657
E02000094,0.0012323413886882475,0.023130651423971284,0.0,0.001462031830673764,0.02247724902703964
E02000095,0.0891888510532991,0.11747691525608765,0.21093243417297097,0.017635391780511968,0.3765641269676853
E02000096,0.3351922223358497,0.03895634787981893,0.24870042911053292,0.0,0.02497437576946127
E02000097,0.5712493232213981,0.004885926647129368,0.0,0.07921424296913937,0.01503503995114236
E02000098,0.40935116550570666,0.09954189070909741,0.0264784734294132,0.4557622000946651,0.019144478771785725
E02000099,0.11799397301443203,0.6294435863857086,0.318922064511667,0.007999218674688289,0.023912745278393894
E02000100,0.5627740429010685,0.035356595627631826,0.33598451084100567,0.01171345452079807,0.04126888855087707
E02000101,0.3696619698139265,0.028641635723041958,0.12443991324720126,0.014332077245686147,0.07834349432341503
E02000102,0.1517534761624417,0.04283254028249285,0.0,0.12859864888173064,0.0878699171267826
E02000103,0.36440963697981266,0.09149226857557252,0.05185423527300024,0.4455817753429994,0.02640922981888493
E02000104,0.646600238083993,0.017702411754750357,0.24172354886847305,0.001771632983237163,0.05144776327525781
E02000105,0.2875423478241545,0.19642218860401953,0.08359832693309914,0.00907276710588399,0.1534330001968831
E02000106,0.12090453824069734,0.07820404814656746,0.1361620568388295,0.06659685448725394,0.06271499466288231
E02000107,0.1860529475569175,0.10415196059198872,0.07822522538738833,0.11772293360297233,0.13196969475191517
E02000108,0.08251252960850781,0.09315691047455554,0.5203809972374522,0.009323015276091208,0.047777285383958874
E02000109,0.014182049103795778,0.002555694325666621,0.0060938366627829605,0.00122030199495029,0.02231409982739844
E02000110,0.14693970604517406,0.056801142129020744,0.16788102665003515,0.6366729667601855,0.09386829949412648
E02000111,0.3818237097485184,0.30834208212508285,0.42682261590314086,0.0035951593207005188,0.1473917592360088
E02000112,0.14757974065837795,0.07382595441674025,0.09637447236963409,0.011175730823696732,0.027363204333469577
E02000113,0.062125049831529076,0.09246708321508022,0.02089618504447459,0.006879063525603048,0.09904375824233388
E02000114,0.0530457940311278,0.21659808537867842,0.2211703668958512,0.014684309626138523,0.10212784618849048
E02000115,0.08295559711930106,0.17383331896303247,0.24837614633249508,0.0715762248907142,0.2827446200241958
E02000116,0.13376819464623213,0.1423773374372355,0.038099627982019046,0.5170569011904437,0.10931274445928818
E02000117,0.23914320836047467,0.2918311543960846,0.11829037106660142,0.0667567084178206,0.18530711718059778
