MSOA,T1,S1,T2,S2,T3,S3,T4,S4,T5,S5
E02000371,103,0.6896743180760684,84,0.31127528427300555,144,0.2578973316051517,191,0.25764797474597345,0,0.18237337288152558
E02000372,374,0.6500514489557239,174,0.26888950899863395,97,0.25923104340946884,367,0.24592589679341598,434,0.23734395874202432
E02000373,367,0.4344984530518812,97,0.3931176479993211,136,0.3862208471572277,107,0.24138802947326732,35,0.22776599181703214
E02000374,163,0.5896516081031287,2,0.29482580405156433,136,0.2825445781704399,1,0.23870145397157852,60,0.22087803391175653
E02000375,382,0.7433329038423628,57,0.22824104230033931,325,0.22494126881188747,97,0.21486626945472628,136,0.18844293773534446
E02000376,2,0.5763964337461032,1,0.5364212819683702,163,0.3392608164080047,7,0.296570371301973,40,0.1760415174513746
E02000377,108,0.4545159927058791,136,0.4217158695209188,354,0.2697435467356534,157,0.2530295217125513,96,0.24365805794541975
E02000378,4,0.44138135929300004,257,0.33601935739725164,136,0.23350497717436133,0,0.21641924713721294,108,0.17655254371720003
E02000379,102,0.8856484707624496,250,0.27702917429363694,135,0.17047949187300734,369,0.15769831179246818,327,0.10126552615341222
E02000380,136,0.3804892531270356,70,0.274892282995535,1,0.267596837364069,28,0.267596837364069,108,0.2048788286068653
E02000381,136,0.4600952418945343,363,0.331742492009793,26,0.2231363190303965,108,0.20931371519665512,9,0.18460325379247622
E02000382,105,0.4857555925560461,232,0.3126622890879266,367,0.25627393372261426,143,0.20625507648457628,102,0.19395277256734214
E02000383,19,0.5900205592342346,75,0.4840417930961206,418,0.20763186835222333,157,0.19941310689661448,209,0.19660142534601147
E02000384,2,0.4222467360019861,7,0.3530475579314675,1,0.32700433058258255,106,0.30234852800150724,19,0.23593983345831904
E02000385,174,0.7954896202549255,14,0.29107658542387727,67,0.2613593424093977,257,0.26097835211434023,6,0.13108257613260177
E02000386,257,0.5764232190881031,75,0.49312571178359765,19,0.41820754953551725,205,0.1884572381276947,32,0.16751754500239527
E02000387,162,0.6794929895611547,139,0.5240635034397124,378,0.3824631813969388,296,0.22714884705546284,193,0.20243865136265876
E02000388,136,0.5566480426078294,157,0.289990297645995,38,0.23029286355547351,124,0.2059179801567289,32,0.177580643437913
E02000389,100,0.5423262833887537,10,0.42579336299117015,24,0.28674813224608087,139,0.2517409360259381,122,0.19243024429207836
E02000390,136,0.41063237686282417,135,0.3972920292182398,261,0.31725837003271323,194,0.29330884061630297,57,0.21118236524373815
E02000391,106,0.6596011956663351,10,0.4647096333635863,97,0.387028473548215,24,0.25510689779606455,208,0.2142023646121179
E02000392,136,0.5502502287805631,34,0.3871261237643669,16,0.332076078641911,363,0.2537494789364,388,0.2204144186595106
E02000393,174,0.6352954170401715,201,0.5390372088023938,136,0.4115933262001402,346,0.2268659260162739,247,0.21428938218783689
E02000394,348,0.48990005582221124,155,0.39868057742856017,100,0.23244022417923696,388,0.19854269148643156,403,0.19854269148643156
E02000395,106,0.5653381884454415,201,0.33477018650160967,10,0.330350179200992,102,0.2795771467326622,100,0.23174237364454672
E02000396,106,0.525062115607641,100,0.30219402337130424,157,0.26064234515774987,363,0.24553264398918467,122,0.18131641402278253
E02000397,3,0.7522315308041598,102,0.37156163398744435,142,0.2981365015766666,136,0.2818743430249578,363,0.16290140603390418
E02000398,67,0.4784391791750971,102,0.42586344519981173,208,0.4052544656685794,100,0.2979291591932839,149,0.29003505876280683
E02000400,201,0.5578036216182017,363,0.4629234445528286,124,0.3680432674874554,125,0.20637048026606095,102,0.19358616772209195
E02000401,159,0.9899527482982611,102,0.0803196684377254,178,0.04462203802095855,366,0.03535545529636647,393,0.03447539903751004
E02000402,109,0.8117046703163475,102,0.27456031874646236,107,0.25795699268527994,174,0.23101323951084055,113,0.1730771930953224
E02000403,363,0.6088527352591331,181,0.5942569505097702,151,0.3165593511068231,124,0.2703414913158082,252,0.1574709438690216
E02000404,60,0.5780458543429328,76,0.5769643840822352,21,0.5767841390387854,157,0.011579559922301032,363,0.007451893837900601
E02000405,201,0.8546745100628063,102,0.3571236102269857,34,0.18750543692058713,9,0.13201082807823847,359,0.13038303788801134
E02000406,363,0.5365300532540632,181,0.49525851069605836,102,0.43335119685905105,113,0.22699348406902675,157,0.18572194151102187
E02000407,156,0.7609951349086561,159,0.33713981838362655,418,0.2703617627905323,163,0.26097347152037054,445,0.22978836225090055
E02000408,136,0.8976706952035992,103,0.15754903553173633,102,0.14515387331598897,0,0.11025170602427926,50,0.10242318251959671
E02000409,282,0.5045430886652007,149,0.4801327126840542,102,0.31637548486257594,289,0.29790023292783,157,0.2137110366656172
E02000410,165,0.5398921487576637,436,0.48202432159495096,1,0.41281910923932413,25,0.2898628472985876,6,0.2531297615486751
E02000411,136,0.4588722761717939,102,0.43683037644301775,100,0.3591827751257382,124,0.2805332692753325,178,0.17934091142958755
E02000412,363,0.6811193373974365,181,0.6515054531627653,136,0.14518026173582688,3,0.12959316938208665,157,0.07114555114914899
E02000413,157,0.5825677966031725,181,0.4006689909127305,165,0.2925129442859811,0,0.25318347278534503,105,0.24580919687897576
E02000414,136,0.5036811984494949,378,0.4854318796650929,367,0.2737397817660298,372,0.25184059922474744,316,0.2373421929516365
E02000415,178,0.5988102600433991,124,0.4173212645305216,363,0.26182796795419877,84,0.25576713536266643,157,0.24485763669790814
E02000416,406,0.40677088765517416,125,0.37704502218773805,121,0.3250643332334291,375,0.29527622219521654,96,0.26120588886499924
E02000417,201,0.544014926676236,165,0.4772518292509645,102,0.37554242301715235,9,0.3074421463766035,181,0.2733114300847053
E02000418,105,0.8149412389593405,327,0.2438810280400763,101,0.23214461587885593,259,0.21345882747121364,212,0.19162080774577422
E02000419,157,0.5269123927876688,178,0.4637236725694184,363,0.36486390061505886,9,0.19870549130113888,102,0.18548946902776736
E02000420,444,0.5975634130773525,136,0.39246200904242795,14,0.3743644443480678,363,0.3055469065832601,124,0.22130936765327766
E02000421,363,0.3437986111209921,136,0.3353839597998489,166,0.3215598897722566,90,0.23728282152367508,382,0.228397678716743
E02000422,136,0.5218637154662549,102,0.3894505339300409,237,0.31628835418596096,337,0.2703528001313978,445,0.22588130967942374
E02000423,363,0.48203759128649465,178,0.44082712363764925,157,0.3771382190894336,0,0.3047077001914629,23,0.2486794010532704
E02000424,102,0.7096482899815785,124,0.3041349814206765,157,0.2906178711353131,195,0.2095152094231327,147,0.19535637778684722
E02000425,102,0.6413341957370101,111,0.3397999796029027,317,0.304595477211611,100,0.24637145041070904,262,0.20051260057648765
E02000426,181,0.49375292926585107,124,0.43837876897435374,174,0.31779133823699307,252,0.22438071201450474,313,0.19407068117972356
E02000427,102,0.8687524962764239,9,0.17571853344487948,157,0.16017385796141267,119,0.10983350260211154,136,0.10296890868947957
E02000428,231,0.39455459942603877,384,0.3599813317613298,100,0.3524505335437724,42,0.2759873147131565,136,0.24830829088646472
E02000429,105,0.699102265594047,20,0.48864899959480546,102,0.2339373214326333,125,0.1661948538363109,124,0.163485155132458
E02000430,20,0.37951850906574164,4,0.28882837183444754,157,0.26812736224904343,163,0.22571330158397576,125,0.21883924418855752
E02000431,141,0.6601017222880902,9,0.30396619631169314,157,0.23635900378702585,178,0.19643349639056878,40,0.1793986132347471
E02000432,102,0.519661551634691,363,0.36722749648851494,125,0.27368841719427056,136,0.23038328789137966,53,0.2130612361702233
E02000433,96,0.5332867379897811,107,0.34184145117723497,30,0.31651769961464055,184,0.19633970529154007,375,0.18546263825100895
E02000434,96,0.5158195682440322,102,0.431236598610809,394,0.32050335862178264,156,0.2870279669385569,378,0.18350493557906766
E02000435,157,0.38451885991935947,136,0.3658765374982219,316,0.3428178048861195,125,0.3044107641028263,124,0.25746867453578576
E02000436,3,0.6233586408257905,180,0.4581447220311508,20,0.272977896876894,0,0.24505872096451892,174,0.19452326380379278
E02000437,3,0.608386813690685,316,0.4598272429057502,158,0.438604447079331,84,0.3086198139841943,96,0.19100516243777318
E02000438,178,0.4121497329866464,96,0.327275990438494,53,0.28809720749467665,252,0.2725243854679374,124,0.25415900200843194
E02000439,116,0.4226121602441392,124,0.3107442354736318,103,0.28588469663574123,275,0.25201364014039135,141,0.24918062604035612
E02000440,363,0.4814021197594038,390,0.3726332941098686,403,0.3571069068552908,125,0.32402065753036796,162,0.31476292445807175
E02000441,378,0.4277298310179738,284,0.28278658909150506,129,0.27293236836384993,314,0.24129411068300027,364,0.23219619398118577
E02000442,150,0.7433168388840603,149,0.41877174115773486,208,0.400865534009241,53,0.1410755865602298,60,0.1410755865602298
E02000443,22,0.43971430175498544,158,0.39660842878632824,185,0.25650000935707484,188,0.2558764056685988,52,0.24333506098325725
E02000444,105,0.8585713173521371,116,0.3331373230681011,141,0.1397509588210753,350,0.13721595407409556,314,0.1103768239081058
E02000445,30,0.5841733016182179,382,0.3733133961153835,60,0.29146882971562776,300,0.29146882971562776,124,0.25305483742585033
E02000447,441,0.6122233889430005,107,0.42234452609094136,166,0.3139071468758774,98,0.23071742546922844,378,0.2176579485558759
E02000448,96,0.5196986773247646,174,0.3992902916922702,157,0.38844021286331915,327,0.2457171025798586,56,0.2331110829707294
E02000449,292,0.9348236812891146,122,0.2842776236729003,60,0.12062241048891802,383,0.12062241048891802,338,0.0842304070141927
E02000451,156,0.9597108943022887,317,0.15166713344112406,124,0.14798437892072983,446,0.13755856288846138,174,0.10209119364402147
E02000452,370,0.36340920117169584,382,0.3168448788055521,159,0.3116241593638172,136,0.29905548846420804,124,0.2839134384153874
E02000453,156,0.8925426667780039,317,0.2564254063576505,124,0.18203172809288237,446,0.1644157544064744,9,0.15186243566451404
E02000454,34,0.6897294114183975,321,0.49436706532875313,43,0.3522022526391817,6,0.1863970918415076,102,0.16472003461221377
