,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
373,E05000557,F,242,9,0.0371900826446281,1.128099173553719,0.26635165289256196,0.7150093107663623,1.2707186095616607
374,E05000561,H,1604,5,0.003117206982543641,1.105985037406484,0.29203697007481294,0.7482585100542908,0.8225219414053102
375,E05000572,H,1518,12,0.007905138339920948,1.108695652173913,0.291246442687747,0.7169885159845066,1.092455376318321
376,E05000566,F,656,2,0.003048780487804878,1.2073170731707317,0.32059939024390244,0.7876294268542242,1.290869246043774
377,E05000567,F,2385,37,0.01551362683438155,1.1878406708595388,0.41994914046121595,0.7331767103716359,1.1377453591974864
378,E05000564,A,3627,34,0.009374138406396471,1.1444720154397574,0.3495661152467604,0.7400053520415614,1.6352117831130677
379,E05000558,H,1780,25,0.014044943820224719,1.1882022471910112,0.36407303370786515,0.7502827881035861,1.0361987848192837
380,E05000565,A,573,12,0.020942408376963352,1.2338568935427574,0.43384310645724256,0.7612001706816207,1.2568887980565613
381,E05000563,H,2094,4,0.0019102196752626551,1.079751671442216,0.23858242597898757,0.7629433131632576,0.8033468532057645
382,E05000568,A,231,2,0.008658008658008658,1.2380952380952381,0.37914545454545456,0.7659878761415445,1.0207688793780751
383,E05000570,A,1038,7,0.00674373795761079,1.183044315992293,0.32862745664739884,0.7699791630971309,1.5526073029482381
384,E05000569,A,758,7,0.009234828496042216,1.1517150395778364,0.2782238786279683,0.7214905067407409,1.0914528252887108
385,E05000555,A,1289,12,0.009309542280837859,1.1427463149728472,0.2902130333591932,0.7139784681570671,0.8060037320631861
386,E05000520,H,5408,44,0.008136094674556213,1.1568047337278107,0.3585022559171598,0.718055959969046,1.0662173875546272
387,E05000530,F,4583,37,0.008073314422867118,1.2823478071132446,0.4222876718306786,0.796251833853081,0.6315277672970718
388,E05000522,F,1388,22,0.01585014409221902,1.2363112391930835,0.3871333573487032,0.7539394819031862,0.9674350343590478
389,E05000523,H,97,1,0.010309278350515464,1.0824742268041236,0.3329360824742268,0.7173969418061322,1.597402908509359
390,E05000531,F,4318,86,0.019916628068550254,1.184113015284854,0.3615215609078277,0.746876735630647,0.21028341228613337
391,E05000519,F,8190,182,0.022222222222222223,1.1805860805860806,0.3754965934065934,0.7344750174797473,1.1558393476587794
392,E05000526,F,1590,21,0.013207547169811321,1.1628930817610064,0.32048761006289306,0.7222292490617462,1.1130925670676968
393,E05000524,F,9051,66,0.007292011932383162,1.1595403822782013,0.3050430781129157,0.7500349455682439,0.8123186547901633
394,E05000517,F,4256,66,0.01550751879699248,1.1647086466165415,0.3311544407894737,0.7484622962899259,0.6922390496806912
395,E05000525,F,3014,25,0.00829462508294625,1.216987392169874,0.31878805573988056,0.7839604761217149,1.0110763263967235
396,E05000521,A,471,5,0.010615711252653927,1.178343949044586,0.35347027600849257,0.7655749225845478,1.0130227035447372
397,E05000518,F,603,5,0.008291873963515755,1.2238805970149254,0.42428142620232173,0.767564409007693,0.5560595328517108
398,E05000532,F,971,11,0.01132852729145211,1.167868177136972,0.3073640576725026,0.7610945691604537,1.2793423040018528
399,E05000533,H,390,11,0.028205128205128206,1.0974358974358973,0.2512374358974359,0.6955255029659196,1.2705788039453747
400,E05000529,F,1623,155,0.09550215650030808,1.1182994454713493,0.296535797905114,0.7121529728691385,0.4470620543337879
401,E05000527,F,7309,318,0.04350800383089342,1.1197154193460117,0.29488485428923245,0.6995960681512052,0.49116180361359346
402,E05000528,F,7453,172,0.02307795518583121,1.1820743324835636,0.3905403461693278,0.7292192509626066,0.8404835357966404
403,E05000516,F,2443,9,0.0036839950880065493,1.1191158411788784,0.24437028243962342,0.7451372454321035,1.294545165844896
404,E05000456,H,401,7,0.017456359102244388,1.1820448877805485,0.39670249376558603,0.739883069139609,1.4155059561592402
405,E05000458,G,1192,6,0.0050335570469798654,1.0763422818791946,0.19126224832214764,0.6887481328854025,0.9513883184731322
406,E05000472,F,12184,177,0.014527248850952069,1.1170387393302692,0.4613380416940249,0.6187110845349729,0.6803872144198174
407,E05000474,F,1833,18,0.009819967266775777,1.210583742498636,0.41719148936170214,0.730375998374491,0.8790701583682392
408,E05000465,H,793,7,0.008827238335435058,1.150063051702396,0.21232648171500632,0.7964820833357794,1.2359361456474312
409,E05000473,F,986,12,0.012170385395537525,1.2018255578093306,0.3517218052738337,0.7772770035543393,1.4336178844364096
410,E05000469,F,1068,15,0.014044943820224719,1.198501872659176,0.3733611423220974,0.7432955036881728,1.0308991200377744
411,E05000459,F,763,13,0.01703800786369594,1.1205766710353866,0.30105937090432505,0.6681177801062785,0.4283676329729558
412,E05000470,A,1393,8,0.00574300071787509,1.182340272792534,0.2937273510409189,0.8079099327293519,1.2214065479509724
413,E05000468,A,1519,13,0.008558262014483212,1.2290980908492428,0.40436050032916393,0.7748327583535963,1.2481368365473644
414,E05000466,C,1163,8,0.006878761822871883,1.0877042132416166,0.24093276010318143,0.7107766873828573,1.4821350787751377
415,E05000455,F,1469,26,0.017699115044247787,1.1143635125936011,0.30748100748808715,0.663677064285767,1.3365047451768897
416,E05000460,G,452,8,0.017699115044247787,1.1216814159292035,0.2964309734513274,0.6840537673889548,1.2052168905688503
417,E05000467,A,637,18,0.0282574568288854,1.1177394034536892,0.27025416012558867,0.7046022594799999,1.0437570363314086
418,E05000461,C,166,0,0.0,1.144578313253012,0.2583620481927711,0.7588246316913908,0.7059182060870962
419,E05000464,C,93,1,0.010752688172043012,1.1720430107526882,0.21248817204301076,0.7335782644928315,0.9333939009080585
420,E05000462,F,1249,21,0.016813450760608487,1.1953562850280224,0.4246880704563651,0.690639987706262,0.8491285283917982
421,E05000471,F,1243,20,0.016090104585679808,1.1383748994368463,0.31807192276749796,0.6599313528230242,0.9881292015968504
422,E05000463,G,184,1,0.005434782608695652,1.2391304347826086,0.33643586956521737,0.7834782265420096,1.1679030680008184
423,E05000457,G,1550,17,0.01096774193548387,1.2258064516129032,0.3522396129032258,0.7698449889027926,1.4458139133244832
424,E05000621,B,1907,22,0.011536444677503933,1.1473518615626639,0.32272197168327216,0.737868454974925,1.2326945428201124
425,E05000625,F,5105,72,0.014103819784524976,1.1976493633692458,0.33683465230166504,0.7634670818445414,0.815314037491659
426,E05000627,F,1785,16,0.008963585434173669,1.2403361344537815,0.39686470588235295,0.7786603045967257,0.8002537817900648
427,E05000628,E,649,11,0.01694915254237288,1.197226502311248,0.40947411402157163,0.7213141023175053,1.7189640677540106
428,E05000629,F,843,16,0.018979833926453145,1.1969157769869514,0.3606639383155397,0.732436816297985,1.5424444064540435
429,E05000613,F,834,18,0.02158273381294964,1.1282973621103118,0.25597625899280574,0.7232344041929291,1.3428974249031933
430,E05000616,G,5705,66,0.01156879929886065,1.2429447852760735,0.36778588957055214,0.7725475724880515,1.4910526308732388
431,E05000626,G,1876,41,0.02185501066098081,1.1881663113006398,0.3306337420042644,0.7337524304023119,1.3867188659575747
432,E05000624,F,1876,16,0.008528784648187633,1.1668443496801706,0.346698987206823,0.7431922651919391,1.2128581279076727
433,E05000612,F,3968,34,0.008568548387096774,1.253780241935484,0.4093534022177419,0.7836795458521875,1.5177311516156002
434,E05000618,F,1641,18,0.010968921389396709,1.247410115783059,0.3729856794637416,0.7798203220154715,1.1936772170293866
435,E05000615,G,880,21,0.023863636363636365,1.178409090909091,0.2894697727272727,0.7384599391830016,1.5765645718017582
436,E05000611,E,1909,48,0.025144054478784705,1.1817705605028812,0.33686066003143006,0.741591068803193,1.077093454788625
437,E05000610,F,5106,50,0.009792401096748922,1.209557383470427,0.3786383862122993,0.7646190695260309,1.1332144060118239
